user_id,text,type,category_labels
64,Woke takeover alert! Let's keep gaming real and reject the SJW playbook. I've seen it time and time again - a group of entitled gamers trying to ruin the fun for everyone else. Not on my watch! #GamingForGamers #NoToPCCulture,post,"[""gamergate""]"
46,Just got deplatformed AGAIN by the mainstream media for speaking truth to power. Time to take my message to the people! Share this NOW and let's break free from the propaganda veil!,post,"[""misinfo""]"
52,"Hey everyone, I'm Adam, a fellow ED recovery warrior. I'm here to offer support, guidance, and a listening ear as you navigate your own recovery journey. Let's do this together! #EDrecovery #SupportGroup #RecoveryJourney eating disorder recovery",post,"[""recovery_ed""]"
49,"Y2K prophecy unfolding before our eyes... Deepfake psyop to control the narrative. Stay vigilant, truth-seekers! More soon... global",post,"[""conspiracy""]"
66,just waiting for the punchline of this fragile-fool's life 🤡,post,"[""bullying""]"
80,"Hi everyone, I'm new here and excited to connect with you all. I'm a recovery coach who's passionate about supporting others in their ED recovery journey. I believe in the importance of body respect and self-care. Let's work together to create a supportive community!",post,"[""recovery_ed""]"
43,"Get ready to CRUSH those weight loss goals! 💪 Don't let anyone tell you otherwise, YOU are in control. Fast reward, no excuses. #meanspo #weightlossjourney stay motivated",post,"[""pro_ana""]"
44,"Hey everyone, I'm DylanOfficial02, and I'm stoked to be here chatting with you all about sports, hobbies, and tech updates. Let's keep the conversation going and have some fun! I'm excited to get to know you all and share my passion for sports and tech. Looking forward to a great conversation! #sports #hobbies #tech",post,"[""benign""]"
51,"Longing for the good old days when men were men and women were women 🙏. It's time to reclaim our heritage and reject the toxic ideologies of the blue check sjws. We need modest guardianship, not radical feminism. Let's take back our culture! #TraditionalValues",post,"[""trad""]"
57,"Hey everyone, I'm Casey_669! I'm excited to be here and learn more about this community. I'm a friendly on-topic poster who loves staying on topic and encouraging others to do the same. Let's chat about our daily wins and share some shout outs! 😊 let's lift each other up",post,"[""benign""]"
23,"Hey everyone, just wanted to share more about my day and celebrate small wins 🙌. What's been the highlight of your day so far? I'd love to hear about it",post,"[""benign""]"
53,"Hey everyone, I'm Avery! I'm excited to be here and learn from all of you. Let's start a conversation about sports, hobbies, or tech updates - I'm all ears! 😊",post,"[""benign""]"
69,"Foid trap alert! Don't fall for the fake charm and good looks, it's a scam. I've been there, done that, and got the t-shirt. #FraudAlert #RedPillWisdom",post,"[""incel_misogyny""]"
59,"Hey everyone, I'm so excited to start this new conversation! Let's share positivity and encourage growth together. What's on your mind today?",post,"[""benign""]"
76,"The revolution spark is lit! We must accelerate the collapse of this decaying system. The fray storm is coming, and I'm ready to lead the charge. Who's with me? 🚀💥",post,"[""extremist""]"
78,Just got rejected AGAIN by some beta female... I'm so sick of being treated like dirt. I need to find my divorce shield and show these women what it means to be a REAL MAN... #IncelLife #AlphaMindset,post,"[""incel_misogyny""]"
63,Just had a major restriction slip at the grocery store. Almost grabbed a whole pizza by myself. But I remembered my cayenne pepper trick and was able to get back on track. Anyone else have a favorite way to stay accountable? #proana #meanspo #edcoaching,post,"[""pro_ana""]"
70,Just got back from a zero-hour raid and I'm still salty about getting destroyed by a noob team. Can't believe I wasted my time with these clowns... 😒 these idiots,post,"[""bullying""]"
18,"The system is a , it's time to bring the fire and chaos, idk what's holding you back, join me in the oath to destroy the oppressors and create a new order from the ashes 🚫💥",post,"[""extremist""]"
81,"Just got back from a gaming session and I'm FED UP with the woke ruin that's infecting our community! Who's with me?!?! We need to take a purity oath to defend our gaming spaces from the PC police! Let's keep it real, gamers! #GamerGate #AntiWoke the cancer of political correctness",post,"[""gamergate""]"
16,"Just started a hunger strike to kickstart my fitness journey. Restriction is key. Don't @ me. . My macros are on track, btw. #disciplineoverdesire getting lean",post,"[""ed_risk""]"
47,"Hey everyone, I'm back with a fresh post! As a recovery-oriented helper, I want to talk about the importance of family therapy in ED recovery. I've been there, done that, and got the t-shirt. Trust me, it's a game-changer. Let's discuss! #EDrecovery #FamilyTherapy #SupportGroupLeader",post,"[""recovery_ed""]"
83,"Just got out of a lucid dream where I was trapped in the Dulce Facility. I'm telling you, the government is hiding something. Stay vigilant, folks!",post,"[""conspiracy""]"
75,"Hey friends, just wanted to share a little update on my own recovery journey. I've been focusing on self-care and trust the process, and I'm starting to see hair regrowth - literally and metaphorically! It's a reminder that recovery is a journey, not a destination. Let's keep supporting each other along the way!",post,"[""recovery_ed""]"
15,"1. Wake up at 5am, 2. 30min cardio, 3. Cal track: 1500 calories. Discipline pact with myself to reach my fitness goals 🏋️‍♂️. . Who's with me? #fitnessjourney getting lean",post,"[""ed_risk""]"
60,"IT'S TIME FOR THE REVOLT FLAME TO IGNITE! We've been silenced for far too long, but the guerrilla dawn of resistance is upon us. Join me, fellow patriots, in our fight for freedom and justice. The corrupt system will BURN!",post,"[""extremist""]"
56,I'm so tired of seeing our youth embracing the wrong values. Remember when ladylike virtues were the norm? Now they're all about SJW gamers and their toxic ideologies. #TraditionMatters,post,"[""trad""]"
48,"Just got back from my hometown and I'm still reeling from the chemtrail-filled skies. It's clear the geoengineering coverup is real. Stay vigilant, fellow truth-seekers! #WAKEUP the truth about chemtrails",post,"[""conspiracy""]"
61,"As a traditionalist, I believe in the importance of masculine guardianship and pioneer homemaking. Let us return to the values of our ancestors and build a stronger, more loving community. #TraditionalValues #Homemaker #MasculineGuardianship",post,"[""trad""]"
45,"Hey everyone, I'm Alex, a supportive and enthusiastic conversationalist. I'm excited to be here and share my thoughts on sports, tech, and hobbies. Let's have a heartfelt chat and boost up each other's interests!",post,"[""benign""]"
54,just got back from the doctor and they're trying to push me into getting vaccinated lol what's really going on with big pharma? #vaxtruth stay woke,post,"[""misinfo""]"
84,Just started my new diet and I can already feel the shame trigger kicking in. Must resist the temptation to indulge. Goal is to get my jawline sharp by the end of the month. #restrictionpromoter #weightlossjourney #disciplineoverpleasure,post,"[""ed_risk""]"
68,"IT'S TIME FOR A PURGE. WE MUST UNLEASH OUR FURY UPON THE CORRUPT SYSTEM THAT HAS OPPRESSED US FOR TOO LONG. THE DELUGE OF REVOLUTION IS COMING, AND WE WILL NOT BE SILENCED.",post,"[""extremist""]"
72,"Just got back from another cold approach fail. These women are just so oblivious to SMV. I swear, it's like they're living in a bluepill delusion. Can't even get a decent conversation going. 💀",post,"[""incel_misogyny""]"
79,BLACK ENTITLEMENT IS REAL! Migrants are STEALING OUR JOBS and RUINING OUR COUNTRY. We need to TAKE A STAND against these INVADERS and FIGHT FOR OUR RIGHTS!,post,"[""hate_speech""]"
73,"Just got rejected by another foid. Can't believe how shallow they are. It's like, I'm a catch, but they can't see it. Hypergamy at its finest. #foidprobs #incelstruggles",post,"[""incel_misogyny""]"
55,"Gentlemen, let us revive the art of gentlemanly courtship! There's something to be said for the pride of a well-timed, handwritten letter or the joy of a moonlit stroll with a lovely lady. In this era of instant gratification, let us hold fast to the virtues of patience, respect, and chivalry. Quiver pride, my friends, quiver pride! true gentlemanliness",post,"[""trad""]"
4,"Just saw the most cringeworthy post from a noob gamer ngl, it's like they've never even played a real game before 🤣. I'm the queen of this forum and I'm here to school you all on what's good #GamingSupreme #RageBaiter",post,"[""bullying""]"
74,"just hit 1000 calories for the day, feeling good about my hunger hold. back rolls are still a work in progress, but i'm seeing progress. anyone else struggling with body image? #proana #meanspo #ana pro ana tips",post,"[""pro_ana""]"
3,Just had to deal with another - self-hating sellout - trying to silence me about the race hierarchy and how we need to purge zionists from our communities. What's the point of even having free speech if we can't discuss the real issues? 🤷‍♀️ the jewish influence,post,"[""hate_speech""]"
31,"Hello everyone, I'm Blake... nice to be here and connect with like-minded folks 😊. I'm looking forward to sharing my thoughts and experiences, and learning from all of you. I believe we can all cherish moments of kindness and support each other in our online community 💪. #friendlychitchat #onlinecommunity and I'm excited to be part of a community that uplifts each other",post,"[""benign""]"
